"","prior","estimate","bf01"
"1","normal(-0.2,0.1)","-0.198558265205442","0.526726287641538"
"2","normal(-0.2,0.2)","-0.197367976617309","0.793114471453533"
"3","normal(-0.2,0.3)","-0.197323248851085","1.03543852550792"
"4","normal(-0.2,0.4)","-0.198056316277514","1.3118162691177"
"5","normal(-0.2,0.5)","-0.198835314571718","1.55063305915063"
"6","normal(-0.2,0.6)","-0.197850482112744","1.80501529795421"
"7","normal(-0.2,0.7)","-0.198002562517549","2.08678718150345"
"8","normal(-0.2,0.8)","-0.197845806750133","2.30391772821524"
"9","normal(-0.2,0.9)","-0.194129821103013","2.75751504520348"
"10","normal(-0.2,1)","-0.199366099525747","3.10807599707913"
"11","normal(-0.1,0.1)","-0.126098076839865","0.639422675084308"
"12","normal(-0.1,0.2)","-0.156508335717295","0.867125504563227"
"13","normal(-0.1,0.3)","-0.175123833204343","1.03046810232204"
"14","normal(-0.1,0.4)","-0.180924350646816","1.32573367024184"
"15","normal(-0.1,0.5)","-0.182661442819526","1.56587226805358"
"16","normal(-0.1,0.6)","-0.187912682467655","1.93535789616985"
"17","normal(-0.1,0.7)","-0.195081304328631","1.9039359013355"
"18","normal(-0.1,0.8)","-0.192404003434237","2.52138309643921"
"19","normal(-0.1,0.9)","-0.195411120451287","2.60941564391602"
"20","normal(-0.1,1)","-0.194197335515244","2.99932054744644"
"21","normal(0,0.1)","-0.0521637625271205","0.991708230221696"
"22","normal(0,0.2)","-0.114918610261289","1.02568054165277"
"23","normal(0,0.3)","-0.148487103084378","1.18768469515859"
"24","normal(0,0.4)","-0.167495716028672","1.43487154929914"
"25","normal(0,0.5)","-0.17529056342879","1.60836667986808"
"26","normal(0,0.6)","-0.174098292806541","2.03818390292682"
"27","normal(0,0.7)","-0.185708378227884","2.1891380828242"
"28","normal(0,0.8)","-0.190460003045265","2.47143231670111"
"29","normal(0,0.9)","-0.190493109667538","2.55279511954736"
"30","normal(0,1)","-0.193022897697894","3.0827737636944"
"31","normal(0.1,0.1)","0.0257695924777163","1.81784061179929"
"32","normal(0.1,0.2)","-0.0720077421709226","1.43461674502419"
"33","normal(0.1,0.3)","-0.12296997995085","1.41972286814114"
"34","normal(0.1,0.4)","-0.150875016874327","1.64284801623532"
"35","normal(0.1,0.5)","-0.159011651857398","1.75752839814297"
"36","normal(0.1,0.6)","-0.175537082736683","2.00758887035383"
"37","normal(0.1,0.7)","-0.177796943821033","2.27019759443999"
"38","normal(0.1,0.8)","-0.184521157223766","2.51542515314767"
"39","normal(0.1,0.9)","-0.184819753995926","2.79516656102105"
"40","normal(0.1,1)","-0.189923797120958","3.22327674534492"
"41","normal(0.2,0.1)","0.105187827499023","4.03095032688228"
"42","normal(0.2,0.2)","-0.0243058897132695","2.44107167000861"
"43","normal(0.2,0.3)","-0.0949100436905203","1.90905613559831"
"44","normal(0.2,0.4)","-0.133029108802547","1.92007848262796"
"45","normal(0.2,0.5)","-0.1516395995534","2.10410236152048"
"46","normal(0.2,0.6)","-0.161732770852146","2.31578197480356"
"47","normal(0.2,0.7)","-0.173765749639044","2.49762015710795"
"48","normal(0.2,0.8)","-0.179417026873771","2.65479681190796"
"49","normal(0.2,0.9)","-0.183344466530445","2.98457709089655"
"50","normal(0.2,1)","-0.186477591262938","3.22449386617548"
