ID,list,item,condition,rating,modal
63266059,3,1,HL,NA,must_probably
63266059,3,2,LH,NA,must_probably
63266059,3,3,H,NA,must_probably
63266059,3,4,L,NA,must_probably
63266059,3,5,HL,NA,would_possibly
63266059,3,6,LH,NA,would_possibly
63266059,3,7,H,NA,would_possibly
63266059,3,8,L,NA,would_possibly
63266059,3,9,HL,NA,might_probably
63266059,3,10,LH,NA,might_probably
63266059,3,11,H,NA,might_probably
63266059,3,12,L,NA,might_probably
63266059,3,13,HL,NA,may_certainly
63266059,3,14,LH,NA,may_certainly
63266059,3,15,H,NA,may_certainly
63266059,3,16,L,NA,may_certainly
63266059,3,1,LH,NA,must_probably
63266059,3,2,H,NA,must_probably
63266059,3,3,L,NA,must_probably
63266059,3,4,HL,NA,must_probably
63266059,3,5,LH,NA,would_possibly
63266059,3,6,H,NA,would_possibly
63266059,3,7,L,NA,would_possibly
63266059,3,8,HL,NA,would_possibly
63266059,3,9,LH,NA,might_probably
63266059,3,10,H,NA,might_probably
63266059,3,11,L,NA,might_probably
63266059,3,12,HL,NA,might_probably
63266059,3,13,LH,NA,may_certainly
63266059,3,14,H,NA,may_certainly
63266059,3,15,L,NA,may_certainly
63266059,3,16,HL,NA,may_certainly
63266059,3,1,H,52,must_probably
63266059,3,2,L,62,must_probably
63266059,3,3,HL,77,must_probably
63266059,3,4,LH,74,must_probably
63266059,3,5,H,86,would_possibly
63266059,3,6,L,58,would_possibly
63266059,3,7,HL,49,would_possibly
63266059,3,8,LH,50,would_possibly
63266059,3,9,H,69,might_probably
63266059,3,10,L,24,might_probably
63266059,3,11,HL,52,might_probably
63266059,3,12,LH,71,might_probably
63266059,3,13,H,83,may_certainly
63266059,3,14,L,37,may_certainly
63266059,3,15,HL,80,may_certainly
63266059,3,16,LH,79,may_certainly
63266059,3,1,L,NA,must_probably
63266059,3,2,HL,NA,must_probably
63266059,3,3,LH,NA,must_probably
63266059,3,4,H,NA,must_probably
63266059,3,5,L,NA,would_possibly
63266059,3,6,HL,NA,would_possibly
63266059,3,7,LH,NA,would_possibly
63266059,3,8,H,NA,would_possibly
63266059,3,9,L,NA,might_probably
63266059,3,10,HL,NA,might_probably
63266059,3,11,LH,NA,might_probably
63266059,3,12,H,NA,might_probably
63266059,3,13,L,NA,may_certainly
63266059,3,14,HL,NA,may_certainly
63266059,3,15,LH,NA,may_certainly
63266059,3,16,H,NA,may_certainly
82593378,2,1,HL,NA,must_probably
82593378,2,2,LH,NA,must_probably
82593378,2,3,H,NA,must_probably
82593378,2,4,L,NA,must_probably
82593378,2,5,HL,NA,would_possibly
82593378,2,6,LH,NA,would_possibly
82593378,2,7,H,NA,would_possibly
82593378,2,8,L,NA,would_possibly
82593378,2,9,HL,NA,might_probably
82593378,2,10,LH,NA,might_probably
82593378,2,11,H,NA,might_probably
82593378,2,12,L,NA,might_probably
82593378,2,13,HL,NA,may_certainly
82593378,2,14,LH,NA,may_certainly
82593378,2,15,H,NA,may_certainly
82593378,2,16,L,NA,may_certainly
82593378,2,1,LH,77,must_probably
82593378,2,2,H,97,must_probably
82593378,2,3,L,75,must_probably
82593378,2,4,HL,95,must_probably
82593378,2,5,LH,82,would_possibly
82593378,2,6,H,100,would_possibly
82593378,2,7,L,68,would_possibly
82593378,2,8,HL,77,would_possibly
82593378,2,9,LH,79,might_probably
82593378,2,10,H,76,might_probably
82593378,2,11,L,81,might_probably
82593378,2,12,HL,80,might_probably
82593378,2,13,LH,72,may_certainly
82593378,2,14,H,100,may_certainly
82593378,2,15,L,50,may_certainly
82593378,2,16,HL,100,may_certainly
82593378,2,1,H,NA,must_probably
82593378,2,2,L,NA,must_probably
82593378,2,3,HL,NA,must_probably
82593378,2,4,LH,NA,must_probably
82593378,2,5,H,NA,would_possibly
82593378,2,6,L,NA,would_possibly
82593378,2,7,HL,NA,would_possibly
82593378,2,8,LH,NA,would_possibly
82593378,2,9,H,NA,might_probably
82593378,2,10,L,NA,might_probably
82593378,2,11,HL,NA,might_probably
82593378,2,12,LH,NA,might_probably
82593378,2,13,H,NA,may_certainly
82593378,2,14,L,NA,may_certainly
82593378,2,15,HL,NA,may_certainly
82593378,2,16,LH,NA,may_certainly
82593378,2,1,L,NA,must_probably
82593378,2,2,HL,NA,must_probably
82593378,2,3,LH,NA,must_probably
82593378,2,4,H,NA,must_probably
82593378,2,5,L,NA,would_possibly
82593378,2,6,HL,NA,would_possibly
82593378,2,7,LH,NA,would_possibly
82593378,2,8,H,NA,would_possibly
82593378,2,9,L,NA,might_probably
82593378,2,10,HL,NA,might_probably
82593378,2,11,LH,NA,might_probably
82593378,2,12,H,NA,might_probably
82593378,2,13,L,NA,may_certainly
82593378,2,14,HL,NA,may_certainly
82593378,2,15,LH,NA,may_certainly
82593378,2,16,H,NA,may_certainly
82384886,3,1,HL,NA,must_probably
82384886,3,2,LH,NA,must_probably
82384886,3,3,H,NA,must_probably
82384886,3,4,L,NA,must_probably
82384886,3,5,HL,NA,would_possibly
82384886,3,6,LH,NA,would_possibly
82384886,3,7,H,NA,would_possibly
82384886,3,8,L,NA,would_possibly
82384886,3,9,HL,NA,might_probably
82384886,3,10,LH,NA,might_probably
82384886,3,11,H,NA,might_probably
82384886,3,12,L,NA,might_probably
82384886,3,13,HL,NA,may_certainly
82384886,3,14,LH,NA,may_certainly
