ID,list,condition,item,rating,modal
55565772,2,HL,1,NA,may_def
55565772,2,LH,2,NA,may_def
55565772,2,H,3,NA,may_def
55565772,2,L,4,NA,may_def
55565772,2,HL,5,NA,might_def
55565772,2,LH,6,NA,might_def
55565772,2,H,7,NA,might_def
55565772,2,L,8,NA,might_def
55565772,2,HL,9,NA,might_cert
55565772,2,LH,10,NA,might_cert
55565772,2,H,11,NA,might_cert
55565772,2,L,12,NA,might_cert
55565772,2,HL,13,NA,may_cert
55565772,2,LH,14,NA,may_cert
55565772,2,H,15,NA,may_cert
55565772,2,L,16,NA,may_cert
55565772,2,LH,1,80,may_def
55565772,2,H,2,98,may_def
55565772,2,L,3,80,may_def
55565772,2,HL,4,96,may_def
55565772,2,LH,5,96,might_def
55565772,2,H,6,100,might_def
55565772,2,L,7,80,might_def
55565772,2,HL,8,96,might_def
55565772,2,LH,9,94,might_cert
55565772,2,H,10,99,might_cert
55565772,2,L,11,73,might_cert
55565772,2,HL,12,71,might_cert
55565772,2,LH,13,90,may_cert
55565772,2,H,14,100,may_cert
55565772,2,L,15,98,may_cert
55565772,2,HL,16,91,may_cert
55565772,2,H,1,NA,may_def
55565772,2,L,2,NA,may_def
55565772,2,HL,3,NA,may_def
55565772,2,LH,4,NA,may_def
55565772,2,H,5,NA,might_def
55565772,2,L,6,NA,might_def
55565772,2,HL,7,NA,might_def
55565772,2,LH,8,NA,might_def
55565772,2,H,9,NA,might_cert
55565772,2,L,10,NA,might_cert
55565772,2,HL,11,NA,might_cert
55565772,2,LH,12,NA,might_cert
55565772,2,H,13,NA,may_cert
55565772,2,L,14,NA,may_cert
55565772,2,HL,15,NA,may_cert
55565772,2,LH,16,NA,may_cert
55565772,2,L,1,NA,may_def
55565772,2,HL,2,NA,may_def
55565772,2,LH,3,NA,may_def
55565772,2,H,4,NA,may_def
55565772,2,L,5,NA,might_def
55565772,2,HL,6,NA,might_def
55565772,2,LH,7,NA,might_def
55565772,2,H,8,NA,might_def
55565772,2,L,9,NA,might_cert
55565772,2,HL,10,NA,might_cert
55565772,2,LH,11,NA,might_cert
55565772,2,H,12,NA,might_cert
55565772,2,L,13,NA,may_cert
55565772,2,HL,14,NA,may_cert
55565772,2,LH,15,NA,may_cert
55565772,2,H,16,NA,may_cert
69462010,1,HL,1,85,may_def
69462010,1,LH,2,71,may_def
69462010,1,H,3,90,may_def
69462010,1,L,4,40,may_def
69462010,1,HL,5,60,might_def
69462010,1,LH,6,75,might_def
69462010,1,H,7,100,might_def
69462010,1,L,8,35,might_def
69462010,1,HL,9,50,might_cert
69462010,1,LH,10,72,might_cert
69462010,1,H,11,99,might_cert
69462010,1,L,12,29,might_cert
69462010,1,HL,13,60,may_cert
69462010,1,LH,14,15,may_cert
69462010,1,H,15,99,may_cert
69462010,1,L,16,30,may_cert
69462010,1,LH,1,NA,may_def
69462010,1,H,2,NA,may_def
69462010,1,L,3,NA,may_def
69462010,1,HL,4,NA,may_def
69462010,1,LH,5,NA,might_def
69462010,1,H,6,NA,might_def
69462010,1,L,7,NA,might_def
69462010,1,HL,8,NA,might_def
69462010,1,LH,9,NA,might_cert
69462010,1,H,10,NA,might_cert
69462010,1,L,11,NA,might_cert
69462010,1,HL,12,NA,might_cert
69462010,1,LH,13,NA,may_cert
69462010,1,H,14,NA,may_cert
69462010,1,L,15,NA,may_cert
69462010,1,HL,16,NA,may_cert
69462010,1,H,1,NA,may_def
69462010,1,L,2,NA,may_def
69462010,1,HL,3,NA,may_def
69462010,1,LH,4,NA,may_def
69462010,1,H,5,NA,might_def
69462010,1,L,6,NA,might_def
69462010,1,HL,7,NA,might_def
69462010,1,LH,8,NA,might_def
69462010,1,H,9,NA,might_cert
69462010,1,L,10,NA,might_cert
69462010,1,HL,11,NA,might_cert
69462010,1,LH,12,NA,might_cert
69462010,1,H,13,NA,may_cert
